Game_ID,Game_Name,Ratings,Users,Game_Category
42,Match Masters,4.5,"832,030",Casual
43,Hay Day,4.5,"12,528,276",Casual
44,Roblox,4.4,"26,360,400",Adventure
45,Homescapes,4.4,"10,860,727",Casual
46,Gardenscapes,4.4,"11,076,751",Casual
47,Fishdom,4.4,"5,185,264",Puzzle
48,Rise of Kingdoms: Lost Crusade,4.4,"1,863,279",Strategy
49,Huuuge Casino Slots Vegas 777,4.4,"780,936",Casino
50,June's Journey: Hidden Objects,4.4,"979,865",Adventure
51,King of Avalon: Dominion,4.4,"1,045,053",Strategy
52,DoubleU Casino Vegas Slots,4.4,"689,070",Casino
53,The Grand Mafia,4.4,"131,624",Strategy
54,Mafia City,4.4,"1,138,778",Strategy
55,Caesars Slots: Casino game,4.4,"651,139",Casino
56,Golf Rival,4.4,"401,127",Sports
57,Redecor - Home Design Game,4.4,"204,660",Simulation
58,Matchington Mansion,4.4,"2,102,118",Puzzle
59,Cash TornadoÉ?õ Slots - Casino,4.4,"97,688",Casino
60,Yu-Gi-Oh! Duel Links,4.4,"2,169,594",Card
61,Billionaire Casino Slots 777,4.4,"289,190",Casino
62,Hit it Rich! Casino Slots Game,4.4,"499,219",Casino
63,Genshin Impact,4.3,"2,971,163",Adventure
64,Pok??mon GO,4.3,"15,007,915",Adventure
65,Fate/Grand Order (English),4.3,"76,725",Role Playing
66,Lords Mobile: Tower Defense,4.3,"7,290,038",Strategy
67,Call of Duty Mobile Season 11,4.3,"14,501,699",Action
68,Empires & Puzzles: Match-3 RPG,4.3,"2,193,825",Puzzle
69,Marvel Contest of Champions,4.3,"3,153,340",Action
70,WSOP - Poker Games Online,4.3,"1,487,610",Card
71,Slots: Heart of Vegas Casino,4.3,"389,322",Casino
72,MLB 9 Innings 21,4.3,"188,244",Sports
73,Angry Birds 2,4.3,"5,920,531",Casual
74,Disney Emoji Blitz Game,4.3,"508,777",Puzzle
75,Garena Free Fire - New Age,4.2,"102,442,949",Action
76,Last Shelter: Survival,4.2,"1,554,761",Strategy
77,Township,4.2,"8,630,294",Casual
78,Clash Royale,4.2,"32,927,776",Strategy
79,DoubleDown Casino Vegas Slots,4.2,"435,276",Casino
80,Summoners War,4.2,"2,327,787",Role Playing
81,Lightning Link Casino Slots,4.2,"116,805",Casino
82,PUBG MOBILE : Arcane,4.2,"39,945,261",Action
83,Guns of Glory: The Iron Mask,4.2,"515,409",Strategy
84,Golf Clash,4.2,"2,029,620",Sports
85,YAHTZEE?? With Buddies Dice Game,4.2,"217,934",Board
86,Design Home: Real Home Decor,4.2,"1,109,858",Simulation
87,Evony: The King's Return,4.1,"494,396",Strategy
88,Top War: Battle Game,4.1,"529,707",Strategy
89,Star TrekÉ?õ Fleet Command,4.1,"242,089",Strategy
90,War and Order,4.1,"427,131",Strategy
91,War Robots Multiplayer Battles,4.1,"4,377,356",Action
92,EverMerge: Merge 3 Puzzle,4.1,"315,663",Puzzle
93,Puzzles & Survival,4,"171,937",Strategy
94,Project Makeover,4,"478,422",Casual
95,Star WarsÉ?õ: Galaxy of Heroes,4,"1,733,038",Role Playing
96,MARVEL Strike Force: Squad RPG,3.9,"606,778",Role Playing
97,Game of Thrones: Conquest É?õ - Strategy Game,3.9,"294,260",Role Playing
