Android_Features
Enjoyable Graphics
Adorable Characters
Free Play
Pleasing Music
Easy and Interesting Challenges
Help Items
Easy to Win Stars
Great Download
Exciting Game Updates
Amazing In-game Support
Energy Consumption
Account Problems
Resume and Restart Issues
Customer Service Issues
Scam App Features
Extensive Waiting/ Response Time
In-app Purchase Issues
Help/Support Issues
Update Issues
Excessive Money-oriented Features
Functional Malfunctions
Phone Infesting Features
Game Glitches
