Game_ID,Game_Name,Ratings,Users,Game_Category,Game_Genre
87,Evony: The King's Return,4.1,"494,396",Top Grossing,Strategy
88,Top War: Battle Game,4.1,"529,707",Top Grossing,Strategy
89,Star TrekÉ?õ Fleet Command,4.1,"242,089",Top Grossing,Strategy
90,War and Order,4.1,"427,131",Top Grossing,Strategy
91,War Robots Multiplayer Battles,4.1,"4,377,356",Top Grossing,Action
92,EverMerge: Merge 3 Puzzle,4.1,"315,663",Top Grossing,Puzzle
93,Puzzles & Survival,4,"171,937",Top Grossing,Strategy
94,Project Makeover,4,"478,422",Top Grossing,Casual
95,Star WarsÉ?õ: Galaxy of Heroes,4,"1,733,038",Top Grossing,Role Playing
96,MARVEL Strike Force: Squad RPG,3.9,"606,778",Top Grossing,Role Playing
97,Game of Thrones: Conquest É?õ - Strategy Game,3.9,"294,260",Top Grossing,Role Playing
